District,bilingual,canread,por1,elo1,emk1,ech1,cyj1,sen1,oth1,por2,elo2,emk2,ech2,cyj2,sen2,oth2,IPUM2007,which_max1,max1,which_max2,max2
"Cidade De Nampula",.61097604,.31550306,.39284474,.0049785804,.57809424,.0025471807,.00069468567,.00092624757,.019914322,.36876231,.0024313999,.6103971,.0018524951,.00034734284,0,.016209332,"003001","Emakhua",.57809424,"Emakhua",.6103971
"Angoche",.24115646,.15884353,.025170067,.00017006803,.74251699,.00085034012,0,0,.23129252,.01377551,.00017006803,.74370748,.00034013606,0,0,.24200681,"003002","Emakhua",.74251699,"Emakhua",.74370748
"Namapa-Erati",.089461014,.082978331,.015187997,0,.98147804,.00037043897,0,0,.0029635117,.01074273,0,.98629373,.00074087793,0,0,.0022226339,"003003","Emakhua",.98147804,"Emakhua",.98629373
"Ilha De Moçambique",.44765702,.27716848,.073778667,0,.92223328,0,0,0,.003988036,.044865403,0,.95413756,0,0,0,.00099700899,"003004","Emakhua",.92223328,"Emakhua",.95413756
"Lalaua",.18341708,.17085427,.032035176,0,.96231157,0,.0018844221,0,.0037688443,.015075377,0,.98052764,0,.0012562814,0,.0031407035,"003005","Emakhua",.96231157,"Emakhua",.98052764
"Malema",.32315978,.20227408,.072411731,0,.92459607,.00059844402,.00059844402,0,.0017953322,.048174746,0,.94823462,.00029922201,.00059844402,0,.0026929982,"003006","Emakhua",.92459607,"Emakhua",.94823462
"Meconta",.22222222,.16402116,.045129161,0,.94740117,.00031123561,0,.00062247121,.0065359478,.038593214,0,.95487082,.00031123561,0,.00062247121,.005602241,"003007","Emakhua",.94740117,"Emakhua",.95487082
"Mecuburi",.18876338,.14803804,.041022591,0,.9565993,.00029726516,0,0,.0020808561,.014863258,0,.98394769,0,0,0,.0011890606,"003008","Emakhua",.9565993,"Emakhua",.98394769
"Memba",.11067045,.10254958,.021340888,.00018885742,.97507083,0,0,0,.0033994333,.0069877245,0,.99055713,0,0,0,.0024551463,"003009","Emakhua",.97507083,"Emakhua",.99055713
"Mogincual",.12721114,.10011291,.017689124,.0018818215,.97741812,0,0,0,.0030109147,.0060218293,.0015054573,.99096727,0,0,0,.0015054573,"003010","Emakhua",.97741812,"Emakhua",.99096727
"Mogovolas",.14942747,.13492367,.023664122,.0001908397,.97270989,.0001908397,0,0,.0032442748,.013167939,0,.98435116,.0001908397,0,0,.0022900763,"003011","Emakhua",.97270989,"Emakhua",.98435116
"Moma",.17302983,.13989338,.013398645,.00086442876,.97694856,.00043221438,0,.00028814291,.0080680018,.0063391444,.00057628582,.98213512,.00057628582,0,.00028814291,.010085003,"003012","Emakhua",.97694856,"Emakhua",.98213512
"Monapo",.14898081,.12574939,.02997602,.0001498801,.96717626,.0001498801,0,.0001498801,.0023980816,.020833334,.0001498801,.97631896,.0001498801,0,.0002997602,.0022482015,"003013","Emakhua",.96717626,"Emakhua",.97631896
