gadmPA,Score,por,elo,emk,ech,Lingualism,zScore,zpor,zelo,zemk,zech,category,Province,District,PostAdmin,NAME_1,NAME_2,iclat,iclong
"Alua",10.618687,.098484851,0,1,0,.065656565,-.0028234024,.48711663,,-.0028234024,,"Medium","NAMPULA","ERÁTI","ALUA-SEDE","Nampula","Namapa",-14.058167,39.933743
"Calipo",9.3835382,.57505125,.018528005,.98147202,0,.11116804,-.25694737,-.21296161,.89860392,-.2787616,,"Low","NAMPULA","MOGOVOLAS","CALIPO","Nampula","Mogovolas",-15.499344,39.046608
"Chalaua",11.208246,.30607966,.027253669,.97274631,0,.25856045,.11847463,-.14702472,-.74734521,.14273252,,"High","NAMPULA","MOMA","CHALAUA","Nampula","Moma",-16.041748,39.095074
"Chihulo",10.526423,.32520324,0,1,0,0,-.02180616,.057626765,,-.02180616,,"Medium","NAMPULA","MALEMA","CHUHULO","Nampula","Malema",-14.564378,37.525417
"Cidade De Gurue",11.967201,.49781036,.65748292,0,.003183228,.034484509,.27462482,.24142756,.12272325,,1.1043476,"High","ZAMBÉZIA","GURUÉ","GURUÉ SEDE","Zambezia","Gurue",-15.42323,37.075989
"Cidade De Mocuba",10.418174,.83641505,.22958195,0,.45653388,.2216887,-.044077769,-.019446306,-.29416752,,-.088197008,"Medium","ZAMBÉZIA","MOCUBA","MOCUBA SEDE","Zambezia","Mocuba",-16.970243,36.982819
"Gile",10.198502,.526788,.78281987,0,0,.187264,-.08927393,-.29512507,-.11683836,,,"Low","ZAMBÉZIA","GILÉ","SEDE GILÉ","Zambezia","Gile",-16.092848,38.220245
"Iapala",8.7736254,.44080719,0,1,0,.30229521,-.38243312,-.38684595,,-.38243312,,"Low","NAMPULA","RIBAUE","IAPALA-SEDE","Nampula","Ribaue",-15.003006,37.891396
"Ilha De Mocambique (Cidade)",8.9298534,.59214514,0,.96850836,0,.4681569,-.35029015,-.53946626,,-.34607053,,"Low","NAMPULA","ILHA DE MOÇAMBIQUE","ILHA-SEDE","Nampula","Mossuril",-15.05529,40.71431
"Itoculo",9.399334,.33627054,0,1,0,.14734946,-.2536974,-.13747634,,-.2536974,,"Low","NAMPULA","MEMBA","LUNGA","Nampula","Monapo",-14.647253,40.27702
"Lalaua",11.468796,.26273149,0,1,0,.15281534,.17208107,-.045652773,,.17208107,,"High","NAMPULA","LALAUA","LALAUA SEDE","Nampula","Lalaua",-14.402193,38.274944
"Lioma",13.104589,.37957671,1,0,0,0,.50863498,-.30998299,.50863498,,,"High","ZAMBÉZIA","GURUÉ","LIOMA","Zambezia","Gurue",-15.26218,36.85281
"Lugela",9.0935621,.49496531,0,.0065691238,.80953479,.092153907,-.31660807,-.28741923,,-.95308888,-.35788459,"Low","ZAMBÉZIA","LUGELA","LUGELA SEDE","Zambezia","Lugela",-16.284309,36.78677
"Macone - Sede (Moma Sede)",10.832141,.52379781,0,1,0,.40171054,.041093446,-.00059178635,,.041093446,,"Medium","NAMPULA","MOMA","MOMA-SEDE","Nampula","Moma",-16.738102,39.273075
"Malema",10.702,.64674354,0,.99824286,0,.361965,.014317632,.020305192,,.016382689,,"Medium","NAMPULA","MALEMA","MALEMA - SEDE","Nampula","Malema",-14.929501,37.596828
"Manhamade",10.757601,.65857637,.074543744,0,.79566079,0,.025757195,.32140866,-.33585793,,.10789758,"Medium","ZAMBÉZIA","LUGELA","MUNHAMADE","Zambezia","Lugela",-16.529409,36.95953
"Mazua",10.661008,.22393321,0,1,0,.084883116,.0058838315,-.12108682,,.0058838315,,"Medium","NAMPULA","ERÁTI","ALUA","Nampula","Memba",-13.967119,40.56884
"Mecuburi",10.268917,.44137198,0,1,0,.25457668,-.074786432,-.017069682,,-.074786432,,"Medium","NAMPULA","MECUBURI","MECUBURI-SEDE","Nampula","Mecuburi",-14.638966,38.9175
"Meti",9.5947094,.047980882,0,1,0,.02818631,-.21350017,-.36563021,,-.21350017,,"Low","NAMPULA","LALAUA","METI SEDE","Nampula","Lalaua",-14.55535,37.881104
"Mihlana (Milhana)",9.3643656,.19475655,0,1,0,.23970038,-.26089194,.12706527,,-.26089194,,"Low","NAMPULA","MECUBURI","MUITE","Nampula","Mecuburi",-14.244604,39.116356
"Mossuril - Sede",7.8270783,.50059873,0,.98379445,0,.37215161,-.57717907,-.83642775,,-.57098693,,"Low","NAMPULA","MOSSURIL","MOSSURILSEDE","Nampula","Mossuril",-14.989651,40.674431
"Muabanama",12.088744,.7005772,0,0,1,0,.29963163,.17097914,,,.29963163,"High","ZAMBÉZIA","LUGELA","MUABANAMA","Zambezia","Lugela",-16.08745,36.508572
"Mucuse (Macuze)",11.064579,.66515857,0,0,.98414373,.17167018,.088915996,.28124595,,,.10901936,"Medium","ZAMBÉZIA","NAMACURRA","MACUSE","Zambezia","Namacurra",-17.696108,37.269787
"Mugeba",11.054471,.6962353,.61376846,0,.36682129,0,.086836465,.020311069,-.00082291861,,.24498877,"Medium","ZAMBÉZIA","MOCUBA","MUGEBA","Zambezia","Mocuba",-16.672646,37.296852
"Mulevala (Namigonha)",13.168696,.14185131,.97017521,0,0,0,.52182496,.50766855,.52631485,,,"High","ZAMBÉZIA","MULEVALA","MULEVALA","Zambezia","Ile",-16.378426,37.655811
"Mutuali (Canhunha)",9.9220409,.58114815,0,1,0,.22537208,-.14615384,-.26259312,,-.14615384,,"Low","NAMPULA","MALEMA","MUTUALI","Nampula","Malema",-14.808622,37.043072
"Namacurra",11.118367,.25184572,.00071638043,0,.9159382,.0086704995,.099982694,.33670911,-.33585793,,.066465206,"Medium","ZAMBÉZIA","NAMACURRA","NAMACURRA SEDE","Zambezia","Namacurra",-17.402657,36.987267
"Namajavira",11.982778,.55247664,.01362821,.0032922078,.88497943,.022684516,.27782956,.27859733,-.54275745,.48711663,.35495961,"High","ZAMBÉZIA","MOCUBA","NAMANJAVIRA","Zambezia","Mocuba",-16.741911,36.436546
"Namapa-Erati",12.926876,.27096725,0,.99460435,0,.11562912,.47207183,.18825048,,.47627079,,"High","NAMPULA","ERÁTI","NAMAPA","Nampula","Namapa",-13.704267,39.918861
"Namarroi",13.625647,.058721982,.94577825,.0045786137,0,0,.61583936,.68198049,.59416872,1.7215785,,"High","ZAMBÉZIA","NAMARROI","REGONE","Zambezia","Namarroi",-16.066973,36.945431
"Nametil - Sede",10.325795,.23766446,0,1,0,.12006579,-.063084044,.0033699088,,-.063084044,,"Medium","NAMPULA","MOGOVOLAS","NAMETIL","Nampula","Mogovolas",-15.714573,39.410507
"Nanhupo",5.8218894,.77200305,0,1,0,.56809556,-.98973399,-1.2024077,,-.98973399,,"Low","NAMPULA","MOGOVOLAS","NANHUPO-RIO","Nampula","Mogovolas",-15.92813,39.479912
"Nauela",9.4503269,.14337789,.97569865,0,0,.048602674,-.24320604,-1.0001658,-.25627151,,,"Low","ZAMBÉZIA","ALTO MOLOCUE","NAUELA","Zambezia","Alto Molocue",-15.364388,37.543827
"Nehessine",10.332125,.50280923,0,.99245715,0,.2055088,-.061781775,-.30941778,,-.061049879,,"Medium","NAMPULA","MURRUPULA","NIHESSIUHE","Nampula","Murrupula",-15.635204,38.737694
"Nepuagiua (Mepuagiua)",11.334415,.16603951,.8751176,0,0,.016462842,.14443316,-.029282412,.16835131,,,"High","ZAMBÉZIA","GURUÉ","MEPUAGIUA","Zambezia","Gurue",-15.61927,37.138741
"Netia",8.5848722,.7512753,0,1,0,.36401862,-.42126787,-.47470102,,-.42126787,,"Low","NAMPULA","MONAPO","MONAPO – SEDE","Nampula","Monapo",-14.716755,39.98597
