"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,153,"MOZ","Mozambique",1,"Cabo Delgado","MZ.CD",NA,"","Provincia","Province","",""
2,153,"MOZ","Mozambique",2,"Gaza","MZ.GA",NA,"","Provincia","Province","",""
3,153,"MOZ","Mozambique",3,"Inhambane","MZ.IN",NA,"","Provincia","Province","",""
4,153,"MOZ","Mozambique",4,"Manica","MZ.MN",NA,"","Provincia","Province","",""
5,153,"MOZ","Mozambique",5,"Maputo City","MZ.MC",NA,"","Provincia","Province","",""
6,153,"MOZ","Mozambique",6,"Maputo","MZ.MP",NA,"","Provincia","Province","",""
7,153,"MOZ","Mozambique",7,"Nampula","MZ.NM",NA,"","Provincia","Province","","Moçambique|Mozambique"
8,153,"MOZ","Mozambique",8,"Nassa","MZ.NS",NA,"","Provincia","Province","","Niassa"
9,153,"MOZ","Mozambique",9,"Sofala","MZ.SO",NA,"","Provincia","Province","",""
10,153,"MOZ","Mozambique",10,"Tete","MZ.TE",NA,"","Provincia","Province","",""
11,153,"MOZ","Mozambique",11,"Zambezia","MZ.ZA",NA,"","Provincia","Province","",""
