School_Name,Latitude,Longitude,School_ID,Match,MatchCat
"EPC DE PAI MONDLANE",-15.197361,37.521721,100,0,"0-20%"
"EP1 DE MUETXIUA",-15.288806,37.396927,101,.050000001,"0-20%"
"EPC DE MULUTXASSE",-15.644833,37.67461,103,.050000001,"0-20%"
"EPC DE MUANAMALUA",-15.917417,37.85297,104,0,"0-20%"
"EPC DE MALUA II",-15.668444,37.572166,105,.40000001,"41-60%"
"EPC DE TXETXERE",-15.296639,37.709332,106,0,"0-20%"
"EP1 NARTE",-15.468222,37.772221,107,0,"0-20%"
"EPC DE MURROVORO",-15.639528,37.609444,108,0,"0-20%"
"EPC DE MUMASSE",-15.603917,37.390251,110,.050000001,"0-20%"
"EPC DE FUTURO MELHOR",-15.524,37.851192,112,.40000001,"41-60%"
"EPC DE PEDREIRA ALTA",-15.618861,37.683861,113,.44999999,"41-60%"
"EP1 DE ICOLENE",-15.717333,37.508305,114,0,"0-20%"
"EPC SEDE GILE",-15.618861,37.683861,200,.69999999,"61-80%"
"EP1 DE MASSILELO",-16.145472,38.391582,201,.44999999,"41-60%"
"EPC DE MAMALA",-15.975444,38.549946,202,.30000001,"21-40%"
"EPC DE NAMARROGANE",-15.930639,38.285057,203,0,"0-20%"
"EP1 DE MARIA TRES/NACIACIA",-16.012777,38.047279,204,0,"0-20%"
"EPC DE NANHOPE",-16.217194,38.214417,205,.69999999,"61-80%"
"EPC TENIUA II",-16.020971,38.33675,206,0,"0-20%"
"EPC DE NAMIVO",-16.055889,38.190807,207,.30000001,"21-40%"
"EPC EDUARDO MONDLANE",-15.884,38.672249,208,0,"0-20%"
"EPC 25 DE JUNHO",-15.031944,40.739445,314,.55000001,"41-60%"
"EPC DE COBO",-16.834417,36.857418,500,0,"0-20%"
"EPC DE CFM",-16.838167,36.995445,503,1,"81-100%"
"EPC DE NAMUTABUNE",-16.838333,36.983082,504,.94999999,"81-100%"
"EPC DO BAIRRO LUGELA",-16.832083,36.983028,505,.89999998,"81-100%"
"EPC DE NADALA",-16.730722,37.053806,506,.80000001,"81-100%"
"EPC- DE MANGULAMELO",-16.854528,36.962807,507,.94999999,"81-100%"
"EPC ANTI. COMBATENTES",-16.837639,36.974834,508,1,"81-100%"
"EPC DE TOMBA DE AGUA",-16.841389,36.972221,509,.80000001,"81-100%"
"EPC DO AEROPORTO I",-16.853333,36.99361,510,.80000001,"81-100%"
"EPC MACUVINE",-16.86911,36.965557,511,.64999998,"61-80%"
"EPC DO POSTO AGRICOLA I",-16.816917,36.999001,512,.89999998,"81-100%"
"EPC DO POSTO AGRICOLA II",-16.819279,36.990417,513,.75,"61-80%"
"EPC 25/SET-MUANDIUA",-16.820807,37.010166,514,.2631579,"21-40%"
"EPC DE MUCAPATA",-16.796638,37.004223,515,.63157892,"61-80%"
"EPC DE VIRIELA",-16.839111,36.92247,516,.1,"0-20%"
"EPC DE MARQUES",-16.765944,37.049862,517,.85000002,"81-100%"
"EP1 DE MURRUE",-16.876722,36.91114,518,0,"0-20%"
"EPC DE DERRUBA",-16.863306,36.941582,519,.25,"21-40%"
"EP1 DE IASSO",-16.821444,36.957748,520,0,"0-20%"
"EPC DE ERUA",-16.831583,37.074028,522,.2,"21-40%"
"EP1 DE CAIAVE",-16.992666,36.762669,523,.40000001,"41-60%"
"EPC DE MARMANELO",-16.843332,36.99128,524,.80000001,"81-100%"
"EPC 25 DE JUNHO/CETA",-16.860306,36.989639,525,.85000002,"81-100%"
"EPC JOSINA MACHEL",-16.842361,36.967808,526,1,"81-100%"
"EPC 25 DE SET.-CIZAM",-16.847389,36.979111,527,.89999998,"81-100%"
"EP1 DE NAMIDA",-16.692223,37.096638,529,.050000001,"0-20%"
"EP1 DE NAMUILADE",-16.382025,37.211082,530,0,"0-20%"
"EPC DE MULUBANHA",-16.96475,36.630196,532,0,"0-20%"
"EP1 DE MANGANHA I",-16.572832,36.201111,533,.050000001,"0-20%"
"EPC DE NAMANJAVIRA",-16.800972,36.579361,534,.1,"0-20%"
"EPC DE SOROCO",-16.879833,36.431305,535,0,"0-20%"
"EP1 DE MUGAGA",-17.125278,36.641472,537,0,"0-20%"
"EP1 DE MORRUA",-16.292194,37.850082,600,.050000001,"0-20%"
"EPC DE MALOLO",-16.292194,37.850082,601,0,"0-20%"
"EP1 DE NAHETXE",-16.271639,37.380444,602,0,"0-20%"
"EPC DE INTURRO",-16.300888,37.643917,603,0,"0-20%"
"EP1 DE NEHORA",-16.43014,37.617306,608,0,"0-20%"
